symbol,sector,industry,exchange,market_cap_B
CPAY,Technology,Software - Infrastructure,NYQ,26.52
FNV,Basic Materials,Gold,NYQ,26.38
PHG,Healthcare,Medical Devices,NYQ,26.09
WSM,Consumer Cyclical,Specialty Retail,NYQ,26.02
TROW,Financial Services,Asset Management,NMS,25.97
CHD,Consumer Defensive,Household & Personal Products,NYQ,25.85
TYL,Technology,Software - Application,NYQ,25.75
WBD,Communication Services,Entertainment,NMS,25.61
VLTO,Industrials,Pollution & Treatment Controls,NYQ,25.57
NTR,Basic Materials,Agricultural Inputs,NYQ,25.53
ONC,Healthcare,Biotechnology,NMS,25.52
VTR,Real Estate,REIT - Healthcare Facilities,NYQ,25.35
NOK,Technology,Communication Equipment,NYQ,25.35
BAM,Financial Services,Asset Management,NYQ,25.25
AEE,Utilities,Utilities - Regulated Electric,NYQ,25.14
RYAAY,Industrials,Airlines,NMS,25.11
RKT,Financial Services,Mortgage Finance,NYQ,25.04
HBAN,Financial Services,Banks - Regional,NMS,25
NVR,Consumer Cyclical,Residential Construction,NYQ,24.92
TPG,Financial Services,Asset Management,NMS,24.89
DTE,Utilities,Utilities - Regulated Electric,NYQ,24.83
ERIC,Technology,Communication Equipment,NMS,24.83
NTAP,Technology,Computer Hardware,NMS,24.82
PPL,Utilities,Utilities - Regulated Electric,NYQ,24.8
WST,Healthcare,Medical Instruments & Supplies,NYQ,24.74
WAT,Healthcare,Diagnostics & Research,NYQ,24.67
LYB,Basic Materials,Specialty Chemicals,NYQ,24.53
ADM,Consumer Defensive,Farm Products,NYQ,24.52
LI,Consumer Cyclical,Auto Manufacturers,NMS,24.47
UI,Technology,Communication Equipment,NYQ,24.4
AWK,Utilities,Utilities - Regulated Water,NYQ,24.29
CHKP,Technology,Software - Infrastructure,NMS,23.98
ROL,Consumer Cyclical,Personal Services,NYQ,23.97
TDY,Technology,Scientific & Technical Instruments,NYQ,23.83
FWONA,Communication Services,Entertainment,NMS,23.62
FWONK,Communication Services,Entertainment,NMS,23.6
MKL,Financial Services,Insurance - Property & Casualty,NYQ,23.52
EXE,Energy,Oil & Gas E&P,NMS,23.48
KB,Financial Services,Banks - Regional,NYQ,23.39
ASX,Technology,Semiconductors,NYQ,23.38
NTRA,Healthcare,Diagnostics & Research,NMS,23.36
PHM,Consumer Cyclical,Residential Construction,NYQ,23.33
PTC,Technology,Software - Application,NMS,23.29
TOST,Technology,Software - Infrastructure,NYQ,23.24
TEF,Communication Services,Telecom Services,NYQ,23.07
FE,Utilities,Utilities - Regulated Electric,NYQ,22.94
GFS,Technology,Semiconductors,NMS,22.92
